impl,points,dims,time
python_cached,2000,2,1.8034546375274658
numpy_brute,2000,2,22.333979845046997
numpy_brute,2000,2,22.32517123222351
numpy_brute,2000,2,22.279255390167236
numpy_brute,2000,2,22.340899229049683
numpy_brute,2000,2,22.346149682998657
numpy_cached,2000,2,11.491261005401611
numpy_cached,2000,2,11.440197467803955
numpy_cached,2000,2,11.455424308776855
numpy_cached,2000,2,11.33308720588684
numpy_cached,2000,2,11.390883445739746
numpy_broadcast,2000,2,0.1039285659790039
numpy_broadcast,2000,2,0.10331487655639648
numpy_broadcast,2000,2,0.10325908660888672
numpy_broadcast,2000,2,0.10281586647033691
numpy_broadcast,2000,2,0.10520362854003906
numpy_double_broadcast,2000,2,0.10752153396606445
numpy_double_broadcast,2000,2,0.09978818893432617
numpy_double_broadcast,2000,2,0.10330080986022949
numpy_double_broadcast,2000,2,0.12254571914672852
numpy_double_broadcast,2000,2,0.10163187980651855
scipy,2000,2,0.00903463363647461
scipy,2000,2,0.009159088134765625
scipy,2000,2,0.008701086044311523
scipy,2000,2,0.008533954620361328
scipy,2000,2,0.008439302444458008
cython,2000,2,0.009433746337890625
cython,2000,2,0.009488582611083984
cython,2000,2,0.009571313858032227
cython,2000,2,0.009615182876586914
cython,2000,2,0.010395526885986328
cython_parallel,2000,2,0.023148298263549805
cython_parallel,2000,2,0.020538330078125
cython_parallel,2000,2,0.019549131393432617
cython_parallel,2000,2,0.018620729446411133
cython_parallel,2000,2,0.01824784278869629
python_brute,600,10,0.6536855697631836
python_brute,600,10,0.6578490734100342
python_brute,600,10,0.6623375415802002
python_brute,600,10,0.6451270580291748
python_brute,600,10,0.6603872776031494
python_cached,600,10,0.3394591808319092
python_cached,600,10,0.33093881607055664
python_cached,600,10,0.33799147605895996
python_cached,600,10,0.33049535751342773
python_cached,600,10,0.33429408073425293
numpy_brute,600,10,1.9669833183288574
numpy_brute,600,10,1.9823999404907227
numpy_brute,600,10,1.955747127532959
numpy_brute,600,10,1.938175916671753
numpy_brute,600,10,1.95137619972229
numpy_cached,600,10,0.9917933940887451
numpy_cached,600,10,0.9889113903045654
numpy_cached,600,10,0.9770333766937256
numpy_cached,600,10,0.9710252285003662
numpy_cached,600,10,0.9843499660491943
numpy_broadcast,600,10,0.01869368553161621
numpy_broadcast,600,10,0.021539688110351562
numpy_broadcast,600,10,0.017349720001220703
numpy_broadcast,600,10,0.01737213134765625
numpy_broadcast,600,10,0.016414165496826172
numpy_double_broadcast,600,10,0.016628503799438477
numpy_double_broadcast,600,10,0.016859054565429688
numpy_double_broadcast,600,10,0.01674675941467285
numpy_double_broadcast,600,10,0.018261432647705078
numpy_double_broadcast,600,10,0.017708301544189453
scipy,600,10,0.0019576549530029297
scipy,600,10,0.0018312931060791016
scipy,600,10,0.0019154548645019531
scipy,600,10,0.0017879009246826172
scipy,600,10,0.001848459243774414
cython,600,10,0.0021774768829345703
cython,600,10,0.0027365684509277344
cython,600,10,0.0023720264434814453
cython,600,10,0.0021522045135498047
cython,600,10,0.00234222412109375
cython_parallel,600,10,0.004200935363769531
cython_parallel,600,10,0.004193305969238281
cython_parallel,600,10,0.004240274429321289
cython_parallel,600,10,0.004336833953857422
cython_parallel,600,10,0.004709959030151367
python_brute,400,30,0.6628901958465576
python_brute,400,30,0.692410945892334
python_brute,400,30,0.6729257106781006
python_brute,400,30,0.7071042060852051
python_brute,400,30,0.6759581565856934
python_cached,400,30,0.36377596855163574
python_cached,400,30,0.3339121341705322
python_cached,400,30,0.3314480781555176
python_cached,400,30,0.3457796573638916
python_cached,400,30,0.3307366371154785
numpy_brute,400,30,0.8396766185760498
numpy_brute,400,30,0.8325135707855225
numpy_brute,400,30,0.8407423496246338
numpy_brute,400,30,0.8400998115539551
numpy_brute,400,30,0.8528492450714111
numpy_cached,400,30,0.4805152416229248
numpy_cached,400,30,0.43968844413757324
numpy_cached,400,30,0.4432663917541504
numpy_cached,400,30,0.46720385551452637
numpy_cached,400,30,0.4813499450683594
numpy_broadcast,400,30,0.014792442321777344
numpy_broadcast,400,30,0.014787435531616211
numpy_broadcast,400,30,0.014083385467529297
numpy_broadcast,400,30,0.013998031616210938
numpy_broadcast,400,30,0.012688875198364258
numpy_double_broadcast,400,30,0.01301717758178711
numpy_double_broadcast,400,30,0.013253450393676758
numpy_double_broadcast,400,30,0.013213157653808594
numpy_double_broadcast,400,30,0.01465749740600586
numpy_double_broadcast,400,30,0.013126134872436523
scipy,400,30,0.0018575191497802734
scipy,400,30,0.0018913745880126953
scipy,400,30,0.0023376941680908203
scipy,400,30,0.0018665790557861328
scipy,400,30,0.0018944740295410156
cython,400,30,0.0015795230865478516
cython,400,30,0.0015249252319335938
cython,400,30,0.0013933181762695312
cython,400,30,0.0014600753784179688
cython,400,30,0.0014069080352783203
